"notation","title","description","id","title_en","description_en"
"1","Energie","","f9r",,
"1.1","physikalische Größen: Energie, Leistung, Wirkungsgrad","","y9b",,
"1.2","Energieformen: Bewegungsenergie, Lageenergie, elektrische Energie, thermische Energie, Strahlungsenergie","","y3u",,
"1.3","Energieumwandlung und Energieübertragung","","t4s",,
"1.4","Energieerhaltung und Energieentwertung, auch quantitative Bilanzierung","","u3p",,
"1.5","Zusammenhang zwischen Energie und Leistung, auch quantitative Betrachtungen","","v7t",,
"1.6","nachhaltige Energieversorgung, insbesondere Energiespeicherung","","g5s",,
"2","Elektrizitätslehre","","a7e",,
"2.1","physikalische Größen: elektrische Energie, elektrische Ladung, elektrische Leistung, elektrische Spannung, elektrische Stromstärke, elektrischer Widerstand","","r2y",,
"2.2","Wirkungen und Gefahren des elektrischen Stroms","","r5u",,
"2.3","Zusammenhang zwischen elektrischer Spannung und elektrischer Stromstärke, auch quantitative Betrachtungen","","z2r",,
"2.4","elektromagnetische Induktion","","v3f",,
"2.5","Versorgung mit elektrischer Energie","","b6s",,
"3","Mechanik","","h2z",,
"3.1","physikalische Größen: Geschwindigkeit, Kraft, Masse, Ort, Strecke, Zeit","","r9s",,
"3.2","Geschwindigkeit (quantitativ) und Geschwindigkeitsänderungen","","f4h",,
"3.3","Darstellung von Bewegungsabläufen, insbesondere in Diagrammen","","u3z",,
"3.4","Kräfte und ihre Wirkungen, insbesondere Geschwindigkeitsänderung (Betrag und Richtung)","","z2e",,
"3.5","Trägheitsprinzip","","h3r",,
"3.6","Masse und Gewichtskraft, auch quantitativ","","b7x",,
"4","Elektromagnetische Strahlung","","h2b",,
"4.1","physikalische Größe: Temperatur, Wellenlänge","","b4f",,
"4.2","Licht und Wärmestrahlung: Grenzen der Wahrnehmung durch Lebewesen und Erfassung durch Sensoren","","u2h",,
"4.3","geradlinige Ausbreitung von Licht (Mondphasen, Finsternisse)","","r7q",,
"4.4","elektromagnetisches Spektrum (Mobilfunkstrahlung, Wärmestrahlung, optische Strahlung, Röntgenstrahlung)","","r3b",,
"4.5","Wechselwirkung von Strahlung und Materie (Reflexion, Streuung, Brechung, Absorption, Emission, Transmission)","","e9g",,
"4.6","Klimaphysik, insbesondere Strahlungshaushalt der Erde (Rückstrahlvermögen, mögliche Kippelemente, natürlicher und anthropogener Treibhauseffekt)","","g4t",,
"5","Ionisierende Strahlung","","d5d",,
"5.1","physikalische Größen: Aktivität, Halbwertszeit, Zählrate","","d6a",,
"5.2","Absorption, biologische Wirkung und medizinische Nutzung ionisierender Strahlung","","q5p",,
"5.3","Kernumwandlungen (Spontanzerfall, Kernspaltung, Kernfusion) und Lagerung radioaktiver Abfälle","","s9v",,
